T	38.689720000	-119.763720000	1676.6		
T	38.689830000	-119.762930000	1676.9		
T	38.689880000	-119.762600000	1679.8		
T	38.689880000	-119.762210000	1682.5		
T	38.689780000	-119.761710000	1684.6		
T	38.689650000	-119.761160000	1683.5		
T	38.689530000	-119.760400000	1678.2		
T	38.689520000	-119.760090000	1680.9		
T	38.689510000	-119.759740000	1682.1		
T	38.689520000	-119.759380000	1682.1		
T	38.689560000	-119.758920000	1681.3		
T	38.689600000	-119.758580000	1679.9		
T	38.689650000	-119.758200000	1679.5		
T	38.689640000	-119.757860000	1679.4		
T	38.689590000	-119.757560000	1678.9		
T	38.689430000	-119.757100000	1679.4		
T	38.689170000	-119.756700000	1683.2		
T	38.689060000	-119.756590000	1683.0		
T	38.688830000	-119.756420000	1684.0		
T	38.688570000	-119.756130000	1686.3		
T	38.688330000	-119.755760000	1689.7		
T	38.688060000	-119.755270000	1685.0		
T	38.687800000	-119.754880000	1692.9		
T	38.687530000	-119.754630000	1694.6		
T	38.687450000	-119.754590000	1693.8		
T	38.686930000	-119.754320000	1690.3		
T	38.686400000	-119.754060000	1689.3		
T	38.685940000	-119.753840000	1691.6		
T	38.684620000	-119.753280000	1687.2		
T	38.684070000	-119.753060000	1689.0		
T	38.683280000	-119.752840000	1690.3		
T	38.682970000	-119.752740000	1690.6		
T	38.682680000	-119.752570000	1692.3		
T	38.682210000	-119.752190000	1699.3		
T	38.681090000	-119.750840000	1698.6		
T	38.680080000	-119.749630000	1698.3		
T	38.679630000	-119.748830000	1703.1		
T	38.679380000	-119.747950000	1701.7		
T	38.679320000	-119.747500000	1701.0		
T	38.679320000	-119.747000000	1701.9		
T	38.679340000	-119.746550000	1701.9		
T	38.679370000	-119.746280000	1702.0		
T	38.679460000	-119.745270000	1701.7		
T	38.679510000	-119.744920000	1704.8		
T	38.679530000	-119.744560000	1704.5		
T	38.679530000	-119.744220000	1704.3		
T	38.679460000	-119.743730000	1704.0		
T	38.679380000	-119.743400000	1705.8		
T	38.679200000	-119.742950000	1707.4		
T	38.678970000	-119.742500000	1707.5		
T	38.678710000	-119.742020000	1714.2		
T	38.678520000	-119.741510000	1716.8		
T	38.678360000	-119.740970000	1720.3		
T	38.678210000	-119.740390000	1725.0		
T	38.678070000	-119.740000000	1728.8		
T	38.677800000	-119.739600000	1727.7		
T	38.677250000	-119.738740000	1728.2		
T	38.677010000	-119.738330000	1722.3		
T	38.676380000	-119.736680000	1719.7		
T	38.675830000	-119.735370000	1725.5		
T	38.675700000	-119.735180000	1727.4		
T	38.675490000	-119.734960000	1728.6		
T	38.675230000	-119.734790000	1726.2		
T	38.674210000	-119.734160000	1731.8		
T	38.673670000	-119.733830000	1743.0		
T	38.673200000	-119.733500000	1746.5		
T	38.672790000	-119.733150000	1747.2		
T	38.671640000	-119.732090000	1746.9		
T	38.671450000	-119.731900000	1747.5		
T	38.670920000	-119.731400000	1748.3		
T	38.670380000	-119.730830000	1748.4		
T	38.670170000	-119.730470000	1745.0		
T	38.669990000	-119.729870000	1730.0		
T	38.669860000	-119.729290000	1730.3		
T	38.669740000	-119.729040000	1729.1		
T	38.669640000	-119.728910000	1729.0		
T	38.669320000	-119.728610000	1728.3		
T	38.668570000	-119.728150000	1730.0		
T	38.668320000	-119.728060000	1726.5		
T	38.668020000	-119.728080000	1729.4		
T	38.667790000	-119.728200000	1736.2		
T	38.667240000	-119.728670000	1739.7		
T	38.667080000	-119.728780000	1739.0		
T	38.666780000	-119.728860000	1740.6		
T	38.666470000	-119.728860000	1742.1		
T	38.666300000	-119.728780000	1743.7		
T	38.666100000	-119.728660000	1744.7		
T	38.665600000	-119.728070000	1747.8		
T	38.664700000	-119.726930000	1748.0		
T	38.664510000	-119.726780000	1748.2		
T	38.664250000	-119.726650000	1746.9		
T	38.663580000	-119.726450000	1745.0		
T	38.663000000	-119.726230000	1744.1		
T	38.662720000	-119.726170000	1745.9		
T	38.662320000	-119.726290000	1742.1		
T	38.661910000	-119.726550000	1740.8		
T	38.661570000	-119.726720000	1742.7		
T	38.661220000	-119.726710000	1747.6		
T	38.660850000	-119.726630000	1744.4		
T	38.660570000	-119.726430000	1742.3		
T	38.660490000	-119.726110000	1750.2		
T	38.660440000	-119.725670000	1754.6		
T	38.660420000	-119.725210000	1754.8		
T	38.660490000	-119.724530000	1754.8		
T	38.660500000	-119.724370000	1755.1		
T	38.660450000	-119.724130000	1754.9		
T	38.660380000	-119.723940000	1754.9		
T	38.660250000	-119.723750000	1754.7		
T	38.659350000	-119.723170000	1754.7		
T	38.659190000	-119.722960000	1754.8		
T	38.659090000	-119.722650000	1754.8		
T	38.659110000	-119.722280000	1754.8		
T	38.659280000	-119.721910000	1754.7		
T	38.659490000	-119.721660000	1754.9		
T	38.659620000	-119.721270000	1755.7		
T	38.659740000	-119.720700000	1769.0		
T	38.659960000	-119.719670000	1773.8		
T	38.660380000	-119.718890000	1775.2		
T	38.660740000	-119.718310000	1776.7		
T	38.661000000	-119.717820000	1776.8		
T	38.661010000	-119.717790000	1776.7		
T	38.661010000	-119.717790000	1776.7		
T	38.661010000	-119.717790000	1776.7		
T	38.661570000	-119.716370000	1785.0		
T	38.662260000	-119.714900000	1797.9		
T	38.662360000	-119.714570000	1798.4		
T	38.662400000	-119.714280000	1799.4		
T	38.662420000	-119.713800000	1800.8		
T	38.662460000	-119.713060000	1802.4		
T	38.662460000	-119.712610000	1802.7		
T	38.662470000	-119.712270000	1804.6		
T	38.662530000	-119.711890000	1812.7		
T	38.662660000	-119.711540000	1818.4		
T	38.662750000	-119.711390000	1819.3		
T	38.662880000	-119.711240000	1819.7		
T	38.663080000	-119.711050000	1819.3		
T	38.663180000	-119.710920000	1819.3		
T	38.663300000	-119.710680000	1819.5		
T	38.663380000	-119.710390000	1820.2		
T	38.663700000	-119.709480000	1821.5		
T	38.663830000	-119.709240000	1822.3		
T	38.663910000	-119.709120000	1823.0		
T	38.664090000	-119.708980000	1823.6		
T	38.664330000	-119.708860000	1823.5		
T	38.664590000	-119.708760000	1823.5		
T	38.664720000	-119.708660000	1823.5		
T	38.664970000	-119.708260000	1824.7		
T	38.665120000	-119.707910000	1826.5		
T	38.665150000	-119.707580000	1825.6		
T	38.665070000	-119.706890000	1826.8		
T	38.665050000	-119.706450000	1835.8		
T	38.665100000	-119.706130000	1839.8		
T	38.665210000	-119.705900000	1840.0		
T	38.665520000	-119.705390000	1840.6		
T	38.665630000	-119.705210000	1842.8		
T	38.665740000	-119.704960000	1843.0		
T	38.665780000	-119.704770000	1842.9		
T	38.665800000	-119.704540000	1842.6		
T	38.665740000	-119.704070000	1843.0		
T	38.665640000	-119.703520000	1844.7		
T	38.665620000	-119.703080000	1845.2		
T	38.665720000	-119.702710000	1845.6		
T	38.665820000	-119.702460000	1846.7		
T	38.665930000	-119.702140000	1851.8		
T	38.666000000	-119.701670000	1863.0		
T	38.666010000	-119.701170000	1870.2		
T	38.665950000	-119.700460000	1870.9		
T	38.665800000	-119.699800000	1868.5		
T	38.665780000	-119.699410000	1869.7		
T	38.665850000	-119.698910000	1872.1		
T	38.665920000	-119.698430000	1873.5		
T	38.665910000	-119.698150000	1874.6		
T	38.665910000	-119.698100000	1874.7		
T	38.665850000	-119.697850000	1874.9		
T	38.665830000	-119.697770000	1874.8		
T	38.665650000	-119.697230000	1876.0		
T	38.665430000	-119.696510000	1885.5		
T	38.665400000	-119.695970000	1890.5		
T	38.665440000	-119.695560000	1901.0		
T	38.665530000	-119.695260000	1903.3		
T	38.665770000	-119.694420000	1904.8		
T	38.665810000	-119.694140000	1904.1		
T	38.665860000	-119.693630000	1909.0		
T	38.665840000	-119.693190000	1915.3		
T	38.665720000	-119.692120000	1919.3		
T	38.665500000	-119.691380000	1921.3		
T	38.665380000	-119.691010000	1929.6		
T	38.665010000	-119.690400000	1947.0		
T	38.664460000	-119.689690000	1947.0		
T	38.664310000	-119.689500000	1978.0		
T	38.663970000	-119.689100000	1963.1		
T	38.663580000	-119.688720000	1967.3		
T	38.662840000	-119.688070000	1967.0		
T	38.662660000	-119.687880000	1967.8		
T	38.662540000	-119.687690000	1970.2		
T	38.662430000	-119.687460000	1978.3		
T	38.662380000	-119.687260000	1983.5		
T	38.662350000	-119.687090000	1985.0		
T	38.662280000	-119.686180000	1994.1		
T	38.662170000	-119.685820000	1993.4		
T	38.662030000	-119.685590000	1994.5		
T	38.661880000	-119.685420000	1996.2		
T	38.661650000	-119.685310000	1997.7		
T	38.661410000	-119.685210000	1998.2		
T	38.661190000	-119.685070000	2001.9		
T	38.661070000	-119.684950000	2006.6		
T	38.660890000	-119.684720000	2010.3		
T	38.660660000	-119.684230000	2017.3		
T	38.659740000	-119.682020000	2035.5		
T	38.659150000	-119.680650000	2044.4		
T	38.658950000	-119.680330000	2045.7		
T	38.658630000	-119.679970000	2054.8		
T	38.658290000	-119.679690000	2056.9		
T	38.657760000	-119.679280000	2059.0		
T	38.657480000	-119.679050000	2062.7		
T	38.657270000	-119.678820000	2064.6		
T	38.656740000	-119.678000000	2079.5		
T	38.656200000	-119.676880000	2089.1		
T	38.655870000	-119.676210000	2092.8		
T	38.655690000	-119.675640000	2104.1		
T	38.655460000	-119.674910000	2107.8		
T	38.655380000	-119.674530000	2109.8		
T	38.655360000	-119.674090000	2114.9		
T	38.655470000	-119.673730000	2115.3		
T	38.655600000	-119.673470000	2117.3		
T	38.655920000	-119.673060000	2125.0		
T	38.656320000	-119.672560000	2139.6		
T	38.656610000	-119.672160000	2142.8		
T	38.656800000	-119.671960000	2143.7		
T	38.657130000	-119.671760000	2144.9		
T	38.657340000	-119.671610000	2145.1		
T	38.657500000	-119.671470000	2145.1		
T	38.657640000	-119.671250000	2146.1		
T	38.657800000	-119.671010000	2148.7		
T	38.657930000	-119.670630000	2148.4		
T	38.658040000	-119.670170000	2155.4		
T	38.658060000	-119.669820000	2159.0		
T	38.658060000	-119.669410000	2162.2		
T	38.658020000	-119.669090000	2163.6		
T	38.657850000	-119.668510000	2165.8		
T	38.657600000	-119.667980000	2167.5		
T	38.657320000	-119.667520000	2167.6		
T	38.657000000	-119.666900000	2168.6		
T	38.656770000	-119.666420000	2173.2		
T	38.656640000	-119.665990000	2173.6		
T	38.656610000	-119.665670000	2173.7		
T	38.656690000	-119.665250000	2175.8		
T	38.656800000	-119.664890000	2180.0		
T	38.657140000	-119.664480000	2185.4		
T	38.657400000	-119.664340000	2186.1		
T	38.657660000	-119.664280000	2186.9		
T	38.657860000	-119.664280000	2187.7		
T	38.659390000	-119.664670000	2193.7		
T	38.660230000	-119.664870000	2198.5		
T	38.661210000	-119.665300000	2201.5		
T	38.661880000	-119.665630000	2203.5		
T	38.662350000	-119.665870000	2205.4		
T	38.662780000	-119.666070000	2207.5		
T	38.663240000	-119.666280000	2209.6		
T	38.663780000	-119.666620000	2210.0		
T	38.664090000	-119.667020000	2210.0		
T	38.664260000	-119.667240000	2209.7		
T	38.664460000	-119.667390000	2208.6		
T	38.664660000	-119.667460000	2207.8		
T	38.664940000	-119.667510000	2207.4		
T	38.665220000	-119.667500000	2207.3		
T	38.665550000	-119.667480000	2208.6		
T	38.666090000	-119.667450000	2209.9		
T	38.666960000	-119.667390000	2215.6		
T	38.667580000	-119.667370000	2223.0		
T	38.668100000	-119.667300000	2226.5		
T	38.668350000	-119.667230000	2228.4		
T	38.669040000	-119.666760000	2236.7		
T	38.669180000	-119.666660000	2238.7		
T	38.669570000	-119.666350000	2242.5		
T	38.669770000	-119.666240000	2243.2		
T	38.669940000	-119.666170000	2243.9		
T	38.670170000	-119.666120000	2247.6		
T	38.670400000	-119.666120000	2251.1		
T	38.670590000	-119.666100000	2253.3		
T	38.670710000	-119.666060000	2254.4		
T	38.670800000	-119.666000000	2255.0		
T	38.670930000	-119.665870000	2255.8		
T	38.671260000	-119.665450000	2259.4		
T	38.671650000	-119.664920000	2264.8		
T	38.671810000	-119.664730000	2266.7		
T	38.671910000	-119.664610000	2268.0		
T	38.672080000	-119.664360000	2271.1		
T	38.672130000	-119.664260000	2271.8		
T	38.672170000	-119.664150000	2271.8		
T	38.672200000	-119.664050000	2271.5		
T	38.672190000	-119.663880000	2270.9		
T	38.672170000	-119.663750000	2273.4		
T	38.672140000	-119.663670000	2275.0		
T	38.672060000	-119.663530000	2277.9		
T	38.671950000	-119.663400000	2279.2		
T	38.671800000	-119.663240000	2280.7		
